rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
131,"spotify:track:59D4DOkspUbWyMmbAPQkxZ","Bad Bunny","VOY A LLeVARTE PA PR","Rimas Entertainment LLC.",15,107,25,"1605705"
132,"spotify:track:6dOtVTDdiauQNBQEDOtlAB","Billie Eilish","BIRDS OF A FEATHER","Darkroom/Interscope Records",40,136,58,"1599890"
133,"spotify:track:5yXt80BNZGbmHFd0NHZHNn","Grupo Firme","El Beneficio De La Duda","Music VIP Entertainment Presenta Grupo Firme",5,122,56,"1598434"
134,"spotify:track:0lbDzTINTToToBpkrnQT2t","Fuerza Regida, Manuel Turizo","UNA CERVEZA","Rancho Humilde/Street Mob Records",20,120,76,"1591759"
135,"spotify:track:0SRddBTphQwQcfqw4Br1uX","León Larregui","Brillas","EMI México",43,159,433,"1589367"
136,"spotify:track:7hUJOJ6aF45Y7kbx9Xf0qX","Alejandro Sanz","El vino de tu boca","Sony Music Entertainment",64,73,4,"1580472"
137,"spotify:track:5TFD2bmFKGhoCRbX61nXY5","Bad Bunny","NUEVAYoL","Rimas Entertainment LLC.",11,114,25,"1571476"
138,"spotify:track:0VktYX8a8tvlPa3epPNCka","Luis R Conriquez, Tito Double P","MALEDUCADO","Kartel Music",31,103,10,"1560794"
139,"spotify:track:0wQCKR9OFjYu5Kzrk7WivJ","Alejandro Sanz","Corazón partío","WM Spain",99,99,15,"1559380"
140,"spotify:track:2JJSGhPpATm8lXeYjD95fw","Bobby Pulido","Desvelado","Capitol Latin",118,138,90,"1559312"
141,"spotify:track:6KOnLTb1xLfKDAjMC43I76","Natanael Cano, Oscar Maydon","Giza","WEA Latina",5,135,50,"1558772"
142,"spotify:track:2CshODtf7iwe3pKlPmEWF5","Junior H","TRES BOTELLAS","WEA Latina",26,150,90,"1555162"
143,"spotify:track:32SJM4tQyJHsB8rgVtZURn","Young Miko","WASSUP","Wave Music Group",42,105,9,"1553532"
144,"spotify:track:6bIFNHJ6yLTDDHgYufk9i4","Fuerza Regida","GodFather","Rancho Humilde/Street Mob Records/Sony Music Latin",73,142,8,"1545210"
145,"spotify:track:4ZplewvZRLFcfBa5uyBbhd","Cardenales De Nuevo León","Belleza De Cantina","Universal Music Mexico",43,154,267,"1542795"
146,"spotify:track:0KAqMRUSZwzG3dZLdDA4eH","Shakira","Antologia","Epic",48,137,55,"1537602"
147,"spotify:track:6C1RD7YQVvt3YQj0CmuTeu","Bad Bunny, Ozuna, Farruko, Arcángel, Ñengo Flow, DJ Luian, Mambo Kingz","Diles","Rimas Entertainment LLC",28,123,153,"1532233"
148,"spotify:track:58c33wvOVysB63tVyU28wB","Grupo Marca Registrada, Tombochio","SUPERCHARGED","RB Music, Inc. (RB Music/Grupo Marca Registrada)",87,87,3,"1528355"
149,"spotify:track:2CEf2gU5ZJamLXa3NrgAvA","Rauw Alejandro","Desenfocao'","Sony Music Latin/Duars Entertainment",78,126,22,"1527883"
150,"spotify:track:5HR7yfhSCeoOHRQN05XnZQ","Grupo Frontera, Carín León","QUE VUELVAS","Grupo Frontera",2,133,121,"1523242"
151,"spotify:track:3DGcOWYWHODmgeY5nGnEJ0","Neton Vega","Pa Ti","Josa Records",130,168,7,"1520436"
152,"spotify:track:5EJ2THuhAapEIeQOtXUQ0x","Maná","Oye Mi Amor","WM Mexico",90,149,25,"1518962"
153,"spotify:track:5NbFWZiEj9WATXs6F1HxGZ","Bohemio","WEEKND","Bohemio",153,-1,1,"1510933"
154,"spotify:track:3fJHbMUnzceimOnNjp63fF","Carín León","Primera Cita","Socios Music, LLC",2,172,113,"1509279"
155,"spotify:track:1C84d9abZVKWHT2YYpoean","Luis R Conriquez, Neton Vega","Si No Quieres No","Kartel Music",1,130,67,"1500492"
156,"spotify:track:0uQhDYHyoZe5DpncrPolb6","Junior H","LAS NOCHES","WEA Latina",50,-1,6,"1500103"
157,"spotify:track:4y0n8xKuEKE0J2sThzswhg","Banda Tierra Sagrada","La Buena y la Mala","REMEX MUSIC",85,98,5,"1495338"
158,"spotify:track:6DUdDIRgLqCGq1DwkNWQTN","Maluma","Borro Cassette","Sony Music Latin",17,163,141,"1485246"
159,"spotify:track:6uCZqv78d015paeHFUOUlI","Grupo Arriesgado","Ansiedad","GA Music",64,118,18,"1472966"
